Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,Filename,Year
153,Ricki and the Flash,$41325328,$26822144,64.9%,$14503184,35.1%,2015.csv,2015
154,Ocho apellidos catalanes,$40591862,-,-,$40591862,100%,2015.csv,2015
155,Carol,$40272135,$12711491,31.6%,$27560644,68.4%,2015.csv,2015
156,Northern Limit Line,$40034677,$337907,0.8%,$39696770,99.2%,2015.csv,2015
157,Ex-Files 2: The Backup Strikes Back,$39108291,-,-,$39108291,100%,2015.csv,2015
158,Criminal,$38803993,$14708696,37.9%,$24095297,62.1%,2015.csv,2015
159,Boruto: Naruto The Movie,$38362448,$919651,2.4%,$37442797,97.6%,2015.csv,2015
160,The Lazarus Effect,$38356892,$25801570,67.3%,$12555322,32.7%,2015.csv,2015
161,Chek dou,$37938005,-,-,$37938005,100%,2015.csv,2015
162,A Walk in the Woods,$37461274,$29504281,78.8%,$7956993,21.2%,2015.csv,2015
163,Ex Machina,$36869414,$25442958,69%,$11426456,31%,2015.csv,2015
164,Burnt,$36606743,$13651946,37.3%,$22954797,62.7%,2015.csv,2015
165,The Priests,$36577134,$185093,0.5%,$36392041,99.5%,2015.csv,2015
166,The New Adventures of Aladdin,$35771820,-,-,$35771820,100%,2015.csv,2015
167,Heidi,$35755670,-,-,$35755670,100%,2015.csv,2015
168,Room,$35401758,$14677654,41.5%,$20724104,58.5%,2015.csv,2015
169,Lost and Love,$34930177,$188817,0.5%,$34741360,99.5%,2015.csv,2015
170,Secret in Their Eyes,$34854990,$20180155,57.9%,$14674835,42.1%,2015.csv,2015
171,Dad Where Are We Going 2,$34840000,-,-,$34840000,100%,2015.csv,2015
172,Doraemon: Nobita and the Space Heroes,$34811747,-,-,$34811747,100%,2015.csv,2015
173,Steve Jobs,$34441873,$17766658,51.6%,$16675215,48.4%,2015.csv,2015
174,Victor Frankenstein,$34227298,$5775076,16.9%,$28452222,83.1%,2015.csv,2015
175,The Witness,$33963557,$418063,1.2%,$33545494,98.8%,2015.csv,2015
176,Project Almanac,$33213241,$22348241,67.3%,$10865000,32.7%,2015.csv,2015
177,Dilwale,$31994323,$4871263,15.2%,$27123060,84.8%,2015.csv,2015
178,Suffragette,$31972096,$4702420,14.7%,$27269676,85.3%,2015.csv,2015
179,Self/less,$31807156,$12279691,38.6%,$19527465,61.4%,2015.csv,2015
180,Saving Mr. Wu,$31222161,$92696,0.3%,$31129465,99.7%,2015.csv,2015
181,Attack on Titan Part 1,$30810658,$449523,1.5%,$30361135,98.5%,2015.csv,2015
182,A Man Called Ove,$30692889,$3479315,11.3%,$27213574,88.7%,2015.csv,2015
183,Far from the Madding Crowd,$30229977,$12236500,40.5%,$17993477,59.5%,2015.csv,2015
184,Mr. Holmes,$29355203,$17737646,60.4%,$11617557,39.6%,2015.csv,2015
185,Love & Mercy,$28641776,$12551031,43.8%,$16090745,56.2%,2015.csv,2015
186,Flying Colors,$28525563,-,-,$28525563,100%,2015.csv,2015
187,Triumph in the Skies,$28085162,-,-,$28085162,100%,2015.csv,2015
188,The 33,$27972023,$12227722,43.7%,$15744301,56.3%,2015.csv,2015
189,Bride Wars,$27670000,-,-,$27670000,100%,2015.csv,2015
190,Irrational Man,$27391084,$4030360,14.7%,$23360724,85.3%,2015.csv,2015
191,Detective K: Secret of the Lost Island,$27387870,$185367,0.7%,$27202503,99.3%,2015.csv,2015
192,To the Fore,$27267799,-,-,$27267799,100%,2015.csv,2015
193,American Ultra,$27262374,$14440985,53%,$12821389,47%,2015.csv,2015
194,Orange,$26261536,-,-,$26261536,100%,2015.csv,2015
195,Aloha,$26250020,$21067116,80.3%,$5182904,19.7%,2015.csv,2015
196,Huevos: Little Rooster's Egg-cellent Adventure,$25892561,$9080818,35.1%,$16811743,64.9%,2015.csv,2015
197,Dügün Dernek 2: Sünnet,$25836668,-,-,$25836668,100%,2015.csv,2015
198,Look Who's Back,$25513752,-,-,$25513752,100%,2015.csv,2015
199,Serial Teachers 2,$25364150,-,-,$25364150,100%,2015.csv,2015
200,Wild City,$24817852,$34866,0.1%,$24782986,99.9%,2015.csv,2015
1,Captain America: Civil War,$1153296293,$408084349,35.4%,$745211944,64.6%,2016.csv,2016
2,Rogue One: A Star Wars Story,$1056057273,$532177324,50.4%,$523879949,49.6%,2016.csv,2016
3,Finding Dory,$1028570889,$486295561,47.3%,$542275328,52.7%,2016.csv,2016
4,Zootopia,$1023784195,$341268248,33.3%,$682515947,66.7%,2016.csv,2016
5,The Jungle Book,$966550600,$364001123,37.7%,$602549477,62.3%,2016.csv,2016
6,The Secret Life of Pets,$875457937,$368384330,42.1%,$507073607,57.9%,2016.csv,2016
7,Batman v Superman: Dawn of Justice,$873634919,$330360194,37.8%,$543274725,62.2%,2016.csv,2016
8,Fantastic Beasts and Where to Find Them,$814037575,$234037575,28.8%,$580000000,71.2%,2016.csv,2016
9,Deadpool,$782612155,$363070709,46.4%,$419541446,53.6%,2016.csv,2016
10,Suicide Squad,$746846894,$325100054,43.5%,$421746840,56.5%,2016.csv,2016
11,Doctor Strange,$677718395,$232641920,34.3%,$445076475,65.7%,2016.csv,2016
12,Moana,$643331111,$248757044,38.7%,$394574067,61.3%,2016.csv,2016
13,Sing,$634151679,$270395425,42.6%,$363756254,57.4%,2016.csv,2016
14,Mei ren yu,$553810228,$3232685,0.6%,$550577543,99.4%,2016.csv,2016
15,X-Men: Apocalypse,$543934105,$155442489,28.6%,$388491616,71.4%,2016.csv,2016
16,Kung Fu Panda 3,$521170825,$143528619,27.5%,$377642206,72.5%,2016.csv,2016
17,La La Land,$447407695,$151101803,33.8%,$296305892,66.2%,2016.csv,2016
18,Warcraft,$439048914,$47365290,10.8%,$391683624,89.2%,2016.csv,2016
19,Jason Bourne,$415484914,$162434410,39.1%,$253050504,60.9%,2016.csv,2016
20,Ice Age: Collision Course,$408579038,$64063008,15.7%,$344516030,84.3%,2016.csv,2016
21,Independence Day: Resurgence,$389681935,$103144286,26.5%,$286537649,73.5%,2016.csv,2016
22,Your Name.,$357986087,$5017246,1.4%,$352968841,98.6%,2016.csv,2016
23,The Legend of Tarzan,$356700357,$126643061,35.5%,$230057296,64.5%,2016.csv,2016
24,The Angry Birds Movie,$352333929,$107509366,30.5%,$244824563,69.5%,2016.csv,2016
25,Trolls,$346864462,$153707064,44.3%,$193157398,55.7%,2016.csv,2016
26,Star Trek Beyond,$343471816,$158848340,46.2%,$184623476,53.8%,2016.csv,2016
27,The Great Wall,$334933831,$45540830,13.6%,$289393001,86.4%,2016.csv,2016
28,Now You See Me 2,$334897606,$65075540,19.4%,$269822066,80.6%,2016.csv,2016
29,The Conjuring 2,$320392818,$102470008,32%,$217922810,68%,2016.csv,2016
30,Resident Evil: The Final Chapter,$312242626,$26830068,8.6%,$285412558,91.4%,2016.csv,2016
