Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
102,The Captain,417282021,706572,416575449,2019.csv,2019,0.0016932720904359309,0.9983067279095641
103,Jason Bourne,415484914,162434410,253050504,2016.csv,2016,0.39095140287091146,0.6090485971290885
104,Kingsman: The Secret Service,414351546,128261724,286089822,2015.csv,2015,0.3095480763573644,0.6904519236426355
105,Kingsman: The Golden Circle,410902662,100234838,310667824,2017.csv,2017,0.24393815681826855,0.7560618431817314
106,The Mummy,409231607,80227895,329003712,2017.csv,2017,0.196045206742792,0.803954793257208
107,Ice Age: Collision Course,408579038,64063008,344516030,2016.csv,2016,0.15679465180981703,0.843205348190183
108,Alita: Battle Angel,404980543,85838210,319142333,2019.csv,2019,0.21195638033405473,0.7880436196659453
109,Mamma Mia! Here We Go Again,395044706,120634935,274409771,2018.csv,2018,0.3053703369967449,0.6946296630032551
110,Solo: A Star Wars Story,392924807,213767512,179157295,2018.csv,2018,0.5440417815106289,0.4559582184893712
111,Independence Day: Resurgence,389681935,103144286,286537649,2016.csv,2016,0.26468839516514925,0.7353116048348508
112,Monster Hunt,387053506,32766,387020740,2015.csv,2015,8.465496240718718e-05,0.9999153450375928
113,Godzilla: King of the Monsters,386600138,110500138,276100000,2019.csv,2019,0.2858253971963145,0.7141746028036855
114,Home,386041607,177397510,208644097,2015.csv,2015,0.45952950869360565,0.5404704913063944
115,1917,384623579,159227644,225395935,2019.csv,2019,0.41398305432543436,0.5860169456745656
116,Cars 3,383930656,152901115,231029541,2017.csv,2017,0.3982519046356121,0.6017480953643879
117,Fifty Shades Darker,381545846,114581250,266964596,2017.csv,2017,0.3003079477898444,0.6996920522101556
118,Spider-Man: Into the Spider-Verse,375540831,190241310,185299521,2018.csv,2018,0.5065795628491859,0.49342043715081413
119,Mad Max: Fury Road,374736354,153636354,221100000,2015.csv,2015,0.4099851865453118,0.5900148134546882
120,Once Upon a Time... In Hollywood,374375059,142502728,231872331,2019.csv,2019,0.3806416174748436,0.6193583825251564
121,Fifty Shades Freed,371985018,100407760,271577258,2018.csv,2018,0.26992420431298125,0.7300757956870187
122,Hello Mr. Billionaire,366961907,0,366961907,2018.csv,2018,0.0,1.0
123,Shazam!,365971656,140371656,225600000,2019.csv,2019,0.3835588185550632,0.6164411814449369
124,The Nun,365550119,117450119,248100000,2018.csv,2018,0.32129689718415877,0.6787031028158412
125,Tenet,363656624,58456624,305200000,2020.csv,2020,0.16074675983352912,0.8392532401664708
126,Monster Hunt 2,361682618,706153,360976465,2018.csv,2018,0.0019524106629862981,0.9980475893370137
127,Your Name.,357986087,5017246,352968841,2016.csv,2016,0.014015198305737508,0.9859848016942625
128,The Legend of Tarzan,356700357,126643061,230057296,2016.csv,2016,0.3550404660794887,0.6449595339205113
129,Dumbo,353284621,114766307,238518314,2019.csv,2019,0.32485508900768145,0.6751449109923185
130,Murder on the Orient Express,352789811,102826543,249963268,2017.csv,2017,0.29146687289106543,0.7085331271089346
131,The Angry Birds Movie,352333929,107509366,244824563,2016.csv,2016,0.3051348653964007,0.6948651346035993
132,Peter Rabbit,351266433,115253424,236013009,2018.csv,2018,0.3281082767165515,0.6718917232834485
133,Mary Poppins Returns,349537494,171958438,177579056,2018.csv,2018,0.4919599211865952,0.5080400788134047
134,Trolls,346864462,153707064,193157398,2016.csv,2016,0.44313292608223437,0.5568670739177656
135,xXx: Return of Xander Cage,346118277,44898413,301219864,2017.csv,2017,0.12971985585147242,0.8702801441485276
136,Star Trek Beyond,343471816,158848340,184623476,2016.csv,2016,0.462478528369268,0.537521471630732
137,A Quiet Place,340939361,188024361,152915000,2018.csv,2018,0.5514891576276522,0.44851084237234784
